year,total_us,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,pig_iron,direct_reduced,iron_and_steel_scrap,iron_and_steel_slag,iron_ore,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,total_forestry,lumber,plywood_veneer,wood_panel_products,asphalt_concrete,hma,wma,rap,asphalt_binder,flat_glass
1994,2830000000,57369371.17,10338354.9,3411329.103,15356944.83,96900000,51800000,1630000,70000000,20300000,71000000,6480000,2680000,17500000,891000000,1230000000,77700000,62600000,9300000,8850000,338659874.804751,322785193.173278,15874681.6314727,52915605.4382423,21586399.3440484,6640168.11041405
1995,2900000000,57055576.45,10281806.93,3392670.069,15272946.55,100000000,53200000,1650000,72000000,21300000,72700000,5880000,2540000,18700000,907000000,1270000000,77100000,62400000,9330000,8180000,347167962.838955,330894464.580879,16273498.258076,54244994.1935867,22133489.6951515,6704857.16637849
1996,3000000000,59942753.28,10802096.03,3564348.966,16045801.72,108000000,52000000,1500000,71000000,20800000,72000000,6210000,2830000,19400000,914000000,1350000000,77800000,63900000,9130000,8760000,359357311.353919,342512437.384204,16844873.969715,56149579.8990499,22929213.5647996,6988900.81457987
1997,3140000000,63699665.59,11479117.45,3787744.552,17051472.41,114000000,52700000,1490000,73000000,19600000,73000000,6260000,2940000,19900000,952000000,1430000000,78800000,65500000,8710000,8930000,377531926.035154,359835117.002257,17696809.0328979,58989363.4429929,24095023.9068197,7370180.14773725
1998,3370000000,68634800.79,12368462.72,4081200.276,18372536.21,119000000,53300000,2530000,73000000,19100000,71100000,6590000,3030000,20300000,1070000000,1530000000,80600000,67100000,9280000,9500000,413861848.087411,394462073.958314,19399774.1290974,64665913.763658,26393935.1021589,7925502.43521265
1999,3440000000,72220552.34,13014639.79,4294418.207,19332389.66,116000000,51200000,2620000,70800000,18000000,70100000,7160000,3130000,19700000,1110000000,1550000000,83000000,69400000,9540000,9980000,424294231.372922,404405439.277316,19888792.0956057,66295973.652019,27049505.0233849,8214230.73751793
2000,3460000000,73287321.72,13206878.97,4357851.034,19617948.28,120000000,52800000,2550000,74600000,17500000,70200000,6890000,3090000,19600000,1120000000,1570000000,82300000,68500000,9600000,9990000,428934421.594299,408828120.582067,20106301.0122328,67021003.3741093,27346926.7455411,8299153.00040409
2001,3470000000,74833075.86,13485434.48,4449765.517,20031724.14,105000000,46400000,1769000,70100000,19500000,62000000,5720000,2510000,18900000,1130000000,1620000000,80100000,66900000,8830000,9360000,437638800.615677,417124481.836817,20514318.7788599,68381062.5961995,27911406.9513967,8399777.43416297
2002,3400000000,72988785.52,13153080.69,4340099.31,19538034.48,114000000,44800000,2479000,69500000,19000000,57000000,5850000,2590000,17900000,1130000000,1540000000,82600000,68800000,9390000,9460000,426800963.815677,406794668.636817,20006295.1788599,66687650.5961995,27199250.9948649,8211100.68401435
2003,3460000000,75688879.66,13639656.21,4500653.793,20260810.34,104000000,44400000,2145000,65000000,19600000,55200000,5680000,2430000,19300000,1160000000,1560000000,81600000,67900000,9330000,9530000,435302616.07981,414897805.951069,20404810.1287411,68016033.7624703,27735438.1830676,8437128.85545695
2004,3690000000,80923214.48,14582919.31,4811900.69,21661965.52,122000000,48700000,2617000,66500000,21100000,57900000,6060000,2550000,20100000,1240000000,1660000000,89100000,74300000,10400000,10300000,464295760.250831,442531896.489074,21763863.7617577,72546212.5391924,29580694.9929184,9009640.95239453
2005,3800000000,85082818.97,15332508.62,5059241.379,22775431.03,107000000,43200000,2390000,65600000,21600000,56600000,5990000,2420000,20200000,1290000000,1730000000,90100000,75200000,10500000,10400000,483432522.55772,460771623.062827,22660899.4948931,75536331.6496437,30800745.12,9378605.70521231
2006,3910000000,84691404.83,15261973.1,5035966.897,22670655.17,126000000,43800000,2850000,64600000,20200000,57100000,5390000,2200000,21200000,1340000000,1810000000,84900000,71600000,9750000,10100000,503924014.464608,480302576.28658,23621438.1780285,78738127.260095,30466736.1,9486102.40165841
2007,3690000000,77320877.59,13933753.45,4597696.552,20697672.41,107000000,41400000,2580000,64000000,19500000,51300000,5050000,2270000,20400000,1250000000,1690000000,75800000,63800000,8440000,9120000,470290680.072209,448245804.443824,22044875.6283848,73482918.7612827,27425027.26,8802677.17096429
2008,3260000000,64191918.62,11567824.83,3817015.172,17183241.38,99200000,38600000,2600000,67600000,18800000,49700000,3940000,2000000,20000000,1060000000,1500000000,57400000,47000000,6660000,7530000,407866928.266033,388748166.003563,19118762.2624703,63729207.5415677,24743058.52,7540262.63049444
2009,2630000000,47460622.76,8552730.345,2822129.655,12704517.24,58600000,21400000,1020000,53500000,12500000,25700000,3320000,1580000,16100000,842000000,1200000000,48300000,38900000,5630000,6220000,325135104,309894396,15240708,50802360,21602713.93,5834548.90139071
2010,2640000000,47221793.79,8509691.724,2807928.276,12640586.21,83200000,30500000,1640000,59700000,15800000,48000000,3460000,1760000,18500000,809000000,1200000000,47600000,38400000,5800000,6090000,326405163,289119859.5,37285303.5,56336188.5,22960357.52,5832644.31579346
2011,2670000000,47898475.86,8631634.483,2848165.517,12821724.14,91500000,34300000,1800000,62700000,15400000,47500000,3530000,1730000,19400000,809000000,1200000000,50400000,41200000,5830000,5980000,332029710,269706100.5,62323609.5,60509239.5,21988514.97,5906971.80141645
2012,2700000000,51666666.21,9310688.276,3072231.724,13830413.79,98100000,36300000,2470000,63100000,16000000,47100000,4130000,1760000,19100000,818000000,1220000000,53500000,43100000,5850000,6010000,326858755.5,248205816,78652939.5,61960735.5,21054774.19,6158914.61383686
2013,2780000000,54234077.59,9773353.448,3224896.552,14517672.41,97500000,34400000,2240000,58900000,15500000,47600000,4520000,1760000,19300000,827000000,1250000000,59000000,47100000,6010000,6080000,318149779.5,221625295.5,96524484,61507143,19356193.99,6400953.35053175
2014,2910000000,59189778.62,10666404.83,3519575.172,15844241.38,110000000,34000000,3690000,57900000,16500000,47900000,5080000,1780000,19600000,833000000,1310000000,64300000,51400000,5330000,7610000,319329120,216091467,103237653,65226601.5,19242548.45,6839289.49572927
2015,3040000000,61133581.03,11016691.38,3635158.621,16364568.97,96500000,30000000,2940000,51100000,17700000,42100000,5220000,1820000,18300000,883000000,1400000000,67800000,54197822.7060653,5620124.41679627,8024230.17107309,331031806.5,222351043.5,108680763,67313127,20348654.38,7104584.09964004
2016,3040000000,63123822.41,11375346.55,3753503.448,16897327.59,93100000,26100000,3230000,49500000,15700000,37900000,5090000,1880000,17300000,888000000,1420000000,73000000,58354587.8693624,6051166.40746501,8639657.85381026,340103656.5,234144448.5,105959208,69762526.5,19712305.34,7218928.73051207
2017,3080000000,64457284.14,11615645.52,3832794.483,17254275.86,100000000,27500000,4140000,50400000,16200000,40100000,5680000,1870000,17600000,895000000,1430000000,74900000,59873405.9097978,6208662.51944012,8864525.66096423,344185989,210466920,133719069,69127497,19727480.07,7342806.71494731
2018,3180000000,65346258.62,11775844.83,3885655.172,17492241.38,102000000,30100000,4550000,51700000,16800000,41400000,4900000,1800000,18000000,915000000,1440000000,77200000,61711975.1166407,6399315.70762053,9136734.05909798,353167120.5,210104046,143063074.5,74570607,19457138.94,7512048.35349578
2019,3290000000,67668206.9,12194275.86,4023724.138,18113793.1,98400000,27300000,4690000,47300000,16300000,39100000,4980000,1829387.75510204,16900000,923000000,1510000000,78300000,62591290.8242613,6490497.66718507,9266920.68429238,382741351.5,233509419,149231932.5,80920902,19028452.79,7775434.897
2020,3180000000,69658448.28,12552931.03,4142068.966,18646551.72,82900000,22800000,4020000,44500000,13400000,32143558.2822086,3930000,1443673.46938776,15900000,950147058.831553,1554411764.41452,80000000,63950233.281493,6631415.24105754,9468118.19595645,369950043,200850759,169099284,78925095,19252939.84,8004124.15874406
